In-State Tuition,Out-of-State Tuition,Median Earnings (10 yrs),School Name,State
8720.0,8720.0,,San Francisco Bay University,CA
,,74576.0,Notre Dame de Namur University,CA
60566.0,60566.0,75951.0,Occidental College,CA
1202.0,7178.0,54278.0,Ohlone College,CA
1202.0,8762.0,47348.0,Orange Coast College,CA
52460.0,52460.0,58152.0,Otis College of Art and Design,CA
1398.0,8146.0,41393.0,Oxnard College,CA
35700.0,35700.0,49697.0,Hope International University,CA
,,39169.0,Concorde Career College-San Diego,CA
,,83187.0,Palo Alto University,CA
11692.0,11692.0,52485.0,Pacific Oaks College,CA
,,,Pacific School of Religion,CA
7530.0,7530.0,,Pacific States University,CA
33678.0,33678.0,70484.0,Pacific Union College,CA
53682.0,53682.0,78445.0,University of the Pacific,CA
1288.0,9884.0,36389.0,Palo Verde College,CA
1348.0,10644.0,42300.0,Palomar College,CA
1172.0,9572.0,43937.0,Pasadena City College,CA
63142.0,63142.0,82939.0,Pepperdine University,CA
60578.0,60578.0,69512.0,Pitzer College,CA
15310.0,15310.0,49782.0,Platt College-San Diego,CA
41100.0,41100.0,63998.0,Point Loma Nazarene University,CA
59238.0,59238.0,77779.0,Pomona College,CA
1409.0,9539.0,36328.0,Porterville College,CA
,,16886.0,Professional Institute of Beauty,CA
1180.0,8788.0,43552.0,Santa Ana College,CA
,,,Pardee RAND Graduate School,CA
,,,Shasta School of Cosmetology,CA
55678.0,55678.0,72690.0,University of Redlands,CA
1147.0,8539.0,36243.0,College of the Redwoods,CA
,,26956.0,Salon Success Academy-Upland,CA
,,22412.0,Salon Success Academy-Corona,CA
1388.0,9884.0,44950.0,Rio Hondo College,CA
1420.0,10000.0,41091.0,Riverside City College,CA
,,,Dongguk University Los Angeles,CA
1288.0,10768.0,42214.0,Sacramento City College,CA
1150.0,9814.0,50874.0,Saddleback College,CA
,,143238.0,Samuel Merritt University,CA
1144.0,7440.0,38503.0,San Diego City College,CA
1144.0,7440.0,45120.0,San Diego Mesa College,CA
1144.0,7440.0,48224.0,San Diego Miramar College,CA
8174.0,20054.0,64909.0,San Diego State University,CA
54554.0,54554.0,86522.0,University of San Diego,CA
52800.0,52800.0,,San Francisco Conservatory of Music,CA
7524.0,19404.0,68077.0,San Francisco State University,CA
55532.0,55532.0,89812.0,University of San Francisco,CA
,,,San Joaquin College of Law,CA
1288.0,9072.0,43212.0,San Joaquin Delta College,CA
,,38317.0,San Joaquin Valley College-Visalia,CA
,,38317.0,San Joaquin Valley College-Bakersfield,CA
37150.0,37150.0,56257.0,William Jessup University,CA
1366.0,9486.0,46215.0,San Jose City College,CA
7899.0,19779.0,78988.0,San Jose State University,CA
1376.0,9496.0,54172.0,College of San Mateo,CA
1234.0,9322.0,47647.0,Santa Barbara City College,CA
57534.0,57534.0,109183.0,Santa Clara University,CA
1150.0,9094.0,42193.0,Santa Monica College,CA
1318.0,9310.0,47224.0,Santa Rosa Junior College,CA
,,,Saybrook University,CA
60712.0,60712.0,77539.0,Scripps College,CA
1394.0,8338.0,39092.0,College of the Sequoias,CA
14460.0,14460.0,28891.0,Shasta Bible College and Graduate School,CA
1191.0,8271.0,39269.0,Shasta College,CA
1156.0,8548.0,45294.0,Sierra College,CA
,,18519.0,Sierra College of Beauty,CA
,,46989.0,Trinity Law School,CA
37480.0,37480.0,54340.0,Simpson University,CA
1444.0,9844.0,39098.0,College of the Siskiyous,CA
,,41047.0,Charles A Jones Career and Education Center,CA
1362.0,9508.0,55702.0,Skyline College,CA
744.0,5057.0,39676.0,San Bernardino Valley College,CA
53932.0,53932.0,78812.0,Saint Mary's College of California,CA
1172.0,7628.0,44170.0,Solano Community College,CA
8060.0,19940.0,65986.0,Sonoma State University,CA
,,,South Baylo University,CA
13409.0,13409.0,44897.0,South Coast College,CA
38700.0,38700.0,59541.0,Vanguard University of Southern California,CA
,,45711.0,Concorde Career College-Garden Grove,CA
1342.0,9490.0,40060.0,Southwestern College,CA
,,,Starr King School for the Ministry,CA
,,,Marshall B Ketchum University,CA
50690.0,50690.0,71909.0,Southern California Institute of Architecture,CA
64726.0,64726.0,92498.0,University of Southern California,CA
,,,Southwestern Law School,CA
1108.0,7972.0,38861.0,Taft College,CA
,,,Claremont School of Theology,CA
27000.0,27000.0,55619.0,Thomas Aquinas College,CA
9689.0,9689.0,37822.0,Epic Bible College & Graduate School,CA
,,31141.0,UEI College-Huntington Park,CA
,,39993.0,Concorde Career College-San Bernardino,CA
,,50552.0,Concorde Career College-North Hollywood,CA
1398.0,8146.0,43430.0,Ventura College,CA
,,,The Colleges of Law at Ventura,CA
,,17287.0,Bridges Beauty College,CA
1425.0,10125.0,36119.0,Victor Valley College,CA
1148.0,8684.0,41217.0,Berkeley City College,CA
12483.0,12483.0,42810.0,Walden University,MN
